Employee_E_ID,Shipment_Sh_ID,Status_Sh_ID
582,690,690
396,933,933
545,261,261
770,445,445
991,722,722
437,129,129
805,489,489
803,165,165
295,164,164
804,364,364
54,469,469
853,158,158
902,337,337
163,634,634
993,577,577
891,907,907
950,870,870
292,982,982
90,351,351
49,328,328
100,242,242
405,421,421
584,6,6
326,384,384
95,286,286
600,892,892
26,558,558
515,481,481
876,155,155
691,771,771
605,945,945
864,719,719
886,493,493
365,998,998
946,968,968
152,738,738
789,912,912
148,782,782
7,140,140
982,702,702
249,284,284
273,199,199
172,228,228
234,908,908
844,594,594
368,542,542
372,586,586
82,636,636
528,581,581
143,336,336
429,504,504
47,346,346
790,135,135
427,822,822
906,95,95
750,597,597
913,340,340
31,905,905
733,250,250
624,400,400
199,877,877
112,97,97
256,12,12
848,353,353
102,856,856
361,1,1
962,390,390
443,446,446
977,32,32
936,420,420
395,708,708
344,227,227
48,595,595
362,211,211
88,650,650
289,45,45
704,201,201
903,564,564
315,138,138
501,57,57
812,128,128
953,33,33
830,936,936
656,762,762
935,838,838
762,215,215
698,818,818
294,780,780
535,40,40
357,366,366
468,678,678
798,703,703
497,180,180
841,214,214
521,408,408
2,902,902
637,763,763
407,168,168
87,723,723
894,438,438
708,162,162
311,246,246
888,105,105
678,308,308
734,172,172
640,775,775
189,333,333
685,548,548
617,665,665
508,305,305
406,938,938
132,714,714
785,251,251
113,330,330
951,69,69
169,969,969
984,974,974
881,526,526
883,510,510
735,444,444
120,503,503
92,109,109
618,823,823
768,147,147
619,625,625
393,695,695
127,983,983
329,82,82
839,397,397
787,599,599
658,306,306
302,536,536
959,20,20
467,515,515
642,332,332
472,127,127
700,958,958
305,42,42
676,977,977
602,460,460
175,659,659
679,197,197
412,540,540
486,178,178
899,202,202
123,632,632
180,25,25
433,990,990
244,913,913
147,371,371
634,514,514
999,707,707
477,473,473
746,847,847
287,815,815
310,928,928
889,210,210
512,793,793
693,872,872
670,298,298
238,941,941
400,731,731
398,500,500
955,142,142
193,787,787
33,749,749
786,304,304
811,30,30
615,477,477
18,52,52
114,73,73
340,691,691
649,786,786
778,68,68
885,630,630
69,357,357
288,455,455
898,947,947
473,589,589
23,863,863
505,668,668
401,206,206
988,835,835
493,315,315
432,553,553
948,861,861
821,279,279
435,75,75
11,895,895
204,866,866
332,792,792
179,191,191
503,59,59
431,748,748
865,693,693
874,955,955
513,538,538
814,169,169
236,924,924
957,579,579
